bedrooms,bathrooms,sqft,lot_size,year_built,has_pool,garage_spaces,market,neighborhood,price
3,1.0,938,9200,1975,False,1,"Ames, IA",CollgCr,130250.0
3,1.0,1150,7945,1959,False,1,"Ames, IA",NAmes,141000.0
2,2.0,1752,7658,2005,False,2,"Ames, IA",NridgHt,319900.0
1,1.5,2149,12822,2003,False,2,"Ames, IA",Mitchel,239686.0
3,2.0,1656,11096,2006,False,3,"Ames, IA",Somerst,249700.0
2,2.0,1452,4456,1920,False,0,"Ames, IA",OldTown,113000.0
3,1.0,955,7742,1966,False,1,"Ames, IA",Sawyer,127000.0
3,2.0,1470,13869,1997,False,2,"Ames, IA",Gilbert,177000.0
3,1.0,1176,6240,1934,False,2,"Ames, IA",BrkSide,114500.0
2,1.0,816,8472,1963,False,2,"Ames, IA",IDOTRR,110000.0
0,0.5,1842,50271,1981,False,3,"Ames, IA",Veenker,385000.0
3,1.0,1360,7134,1955,False,2,"Ames, IA",NAmes,130000.0
3,2.0,1425,10175,1964,False,2,"Ames, IA",NAmes,180500.0
3,2.5,1739,2645,1999,False,2,"Ames, IA",Somerst,172500.0
3,2.5,1720,11645,2004,False,2,"Ames, IA",CollgCr,196500.0
3,3.5,2945,13682,2006,False,3,"Ames, IA",StoneBr,438780.0
2,1.0,780,7200,1972,False,1,"Ames, IA",CollgCr,124900.0
3,1.5,1158,13072,2004,False,2,"Ames, IA",SawyerW,158000.0
3,1.0,1111,7200,1920,False,1,"Ames, IA",IDOTRR,101000.0
2,2.0,1370,6442,2006,False,2,"Ames, IA",NridgHt,202500.0
3,2.0,1710,10300,1921,False,2,"Ames, IA",OldTown,140000.0
3,2.5,2034,9375,1997,False,2,"Ames, IA",CollgCr,219500.0
4,2.5,2473,9591,2004,False,3,"Ames, IA",NridgHt,317000.0
3,2.0,2207,19900,1970,False,2,"Ames, IA",NAmes,180000.0
3,2.0,1479,10665,2003,False,2,"Ames, IA",CollgCr,226000.0
2,1.0,747,4608,1945,False,1,"Ames, IA",OldTown,80000.0
3,2.0,2287,15593,1953,False,2,"Ames, IA",ClearCr,225000.0
3,2.0,2223,13651,1973,False,2,"Ames, IA",NAmes,244000.0
2,1.0,845,7599,1982,False,2,"Ames, IA",Mitchel,129500.0
3,2.5,1718,10141,1998,False,2,"Ames, IA",Gilbert,185000.0
3,1.0,1086,10200,1954,False,2,"Ames, IA",NAmes,144900.0
3,2.0,1605,5790,1915,False,1,"Ames, IA",OldTown,107400.0
2,1.0,988,1596,1973,False,1,"Ames, IA",MeadowV,91000.0
2,1.0,952,8475,1956,False,1,"Ames, IA",NAmes,135750.0
2,1.0,1285,8635,1948,False,1,"Ames, IA",BrkSide,127000.0
4,2.0,1768,10778,1968,False,0,"Ames, IA",Sawyer,136500.0
2,1.5,1230,10440,1910,False,2,"Ames, IA",OldTown,110000.0
4,2.5,2142,13000,1968,False,1,"Ames, IA",NAmes,193500.0
2,2.0,1337,4500,1998,False,2,"Ames, IA",Mitchel,153500.0
3,2.0,1563,10206,2007,False,3,"Ames, IA",Somerst,245000.0
3,1.5,1065,8892,1960,False,2,"Ames, IA",NAmes,126500.0
3,2.5,1474,8530,1995,False,2,"Ames, IA",Gilbert,168500.0
4,2.5,2417,16059,1991,False,2,"Ames, IA",NoRidge,260000.0
3,2.5,1560,11911,2005,False,2,"Ames, IA",Gilbert,174000.0
2,2.5,1224,3951,2009,False,2,"Ames, IA",Somerst,164500.0
2,1.0,1526,8470,1915,False,0,"Ames, IA",IDOTRR,85000.0
3,1.0,990,8070,1994,False,0,"Ames, IA",CollgCr,123600.0
2,1.0,1040,7200,1950,False,2,"Ames, IA",NAmes,109900.0
2,1.0,1235,8500,1961,False,2,"Ames, IA",NAmes,98600.0
2,1.0,964,13360,1921,False,2,"Ames, IA",Crawfor,163500.0
4,2.0,2291,7200,1910,False,2,"Ames, IA",OldTown,133900.0
3,2.5,1786,9337,1997,False,2,"Ames, IA",CollgCr,204750.0
3,2.5,1470,9765,1993,False,2,"Ames, IA",Gilbert,185000.0
3,2.0,1588,10264,1999,False,2,"Ames, IA",CollgCr,214000.0
3,1.0,960,10921,1965,False,1,"Ames, IA",Edwards,94750.0
2,1.0,835,10625,1920,False,1,"Ames, IA",Edwards,83000.0
3,1.5,1225,9320,1959,False,0,"Ames, IA",NAmes,128950.0
3,2.0,1610,10603,1977,False,2,"Ames, IA",NWAmes,205000.0
3,2.5,1732,9206,1985,False,2,"Ames, IA",SawyerW,178000.0
4,2.0,1535,7018,1979,False,2,"Ames, IA",SawyerW,118964.0
3,2.0,1226,10402,2009,False,3,"Ames, IA",CollgCr,198900.0
4,1.5,1818,7758,1931,False,1,"Ames, IA",IDOTRR,169500.0
3,2.5,1992,9375,2003,False,2,"Ames, IA",Somerst,250000.0
2,1.0,1047,10800,1885,False,1,"Ames, IA",OldTown,100000.0
2,1.0,789,6000,1948,False,1,"Ames, IA",OldTown,115000.0
3,2.0,1517,8500,1919,False,0,"Ames, IA",IDOTRR,115000.0
3,2.0,1844,11751,1977,False,2,"Ames, IA",NWAmes,190000.0
4,2.0,1855,9525,1954,False,1,"Ames, IA",Edwards,136900.0
3,2.5,1430,7750,2000,False,2,"Ames, IA",Gilbert,180000.0
4,2.5,2696,9965,2007,False,3,"Ames, IA",CollgCr,383970.0
3,2.0,2259,21000,1953,False,2,"Ames, IA",Crawfor,217000.0
3,2.5,2320,7259,1945,False,1,"Ames, IA",Crawfor,259500.0
2,2.5,1458,3230,1999,False,2,"Ames, IA",Somerst,176000.0
3,1.0,1092,11616,1962,False,1,"Ames, IA",Sawyer,139000.0
2,1.5,1125,8536,2006,False,2,"Ames, IA",Edwards,155000.0
5,3.0,3222,12376,1990,False,3,"Ames, IA",SawyerW,320000.0
3,2.5,1456,8461,2005,False,2,"Ames, IA",CollgCr,163990.0
1,1.0,988,21453,1969,False,2,"Ames, IA",ClearCr,180000.0
3,1.0,1123,6060,1939,False,1,"Ames, IA",IDOTRR,100000.0
3,1.0,1080,9464,1958,False,1,"Ames, IA",NAmes,136000.0
2,2.0,1199,7892,1993,False,2,"Ames, IA",SawyerW,153900.0
3,2.0,1586,17043,1979,False,2,"Ames, IA",NWAmes,181000.0
2,1.0,754,6780,1935,False,0,"Ames, IA",IDOTRR,84500.0
2,2.0,958,4928,1976,False,2,"Ames, IA",NPkVill,128000.0
3,1.0,840,4388,1930,False,0,"Ames, IA",OldTown,87000.0
3,1.5,1348,7590,1966,False,2,"Ames, IA",NAmes,155000.0
3,1.5,1053,8973,1958,False,2,"Ames, IA",NAmes,150000.0
4,2.5,2157,14200,1966,False,2,"Ames, IA",NAmes,226000.0
3,2.5,2054,12224,2000,False,2,"Ames, IA",Gilbert,244000.0
3,1.0,1327,7388,1959,False,2,"Ames, IA",NAmes,150750.0
2,2.0,1296,6853,2001,False,2,"Ames, IA",Timber,220000.0
3,2.5,1721,10335,1968,False,2,"Ames, IA",Sawyer,180000.0
3,2.0,1682,10400,1970,False,2,"Ames, IA",NWAmes,174000.0
3,2.0,1214,10355,1967,False,1,"Ames, IA",NAmes,143000.0
5,3.0,1959,11070,1988,False,3,"Ames, IA",Mitchel,171000.0
3,2.5,1852,9066,1999,False,3,"Ames, IA",CollgCr,230000.0
3,2.5,1764,15426,1997,False,2,"Ames, IA",CollgCr,231500.0
3,1.0,864,10500,1971,False,0,"Ames, IA",NAmes,115000.0
3,2.0,1734,11645,2005,False,2,"Ames, IA",CollgCr,260000.0
4,2.0,1385,8520,1952,False,2,"Ames, IA",NAmes,166000.0
3,2.0,1501,10335,1999,False,2,"Ames, IA",CollgCr,204000.0
6,2.0,1728,9100,1963,False,2,"Ames, IA",Sawyer,125000.0
3,2.0,1709,2522,2004,False,2,"Ames, IA",Edwards,130000.0
2,1.0,875,6120,1931,False,1,"Ames, IA",BrkSide,105000.0
3,2.5,2035,9505,2001,False,2,"Ames, IA",Gilbert,222500.0
3,1.0,1080,7500,2004,False,0,"Ames, IA",SawyerW,141000.0
3,1.0,1344,6240,1936,False,1,"Ames, IA",BrkSide,115000.0
3,1.5,969,10356,1975,False,2,"Ames, IA",CollgCr,122000.0
2,2.0,1710,13891,2007,False,3,"Ames, IA",NridgHt,372402.0
4,2.5,1993,14803,1971,False,2,"Ames, IA",NWAmes,190000.0
1,1.0,1252,13500,1960,False,2,"Ames, IA",ClearCr,235000.0
4,1.0,1200,11340,1923,False,1,"Ames, IA",OldTown,125000.0
2,1.0,1096,9600,1924,False,0,"Ames, IA",Edwards,79000.0
2,1.0,1040,7200,1950,False,2,"Ames, IA",NAmes,109500.0
4,2.5,1968,12003,2009,False,3,"Ames, IA",Timber,269500.0
3,2.5,1947,12552,2004,False,2,"Ames, IA",Somerst,254900.0
4,2.5,2462,19378,2005,False,2,"Ames, IA",Gilbert,320000.0
3,2.0,1232,11120,1984,False,2,"Ames, IA",Veenker,162500.0
3,2.5,2668,13688,2003,False,3,"Ames, IA",NridgHt,412500.0
3,2.0,1541,12182,2005,False,2,"Ames, IA",NridgHt,220000.0
1,1.0,882,5500,1956,False,0,"Ames, IA",OldTown,103200.0
3,2.0,1616,5400,1926,False,1,"Ames, IA",OldTown,152000.0
4,2.0,1355,10106,1940,False,0,"Ames, IA",Edwards,127500.0
2,1.0,1867,10708,1955,False,1,"Ames, IA",ClearCr,190000.0
3,1.5,2161,10562,2007,False,3,"Ames, IA",NridgHt,325624.0
3,2.5,1720,8244,2004,False,2,"Ames, IA",Gilbert,183500.0
2,2.5,1707,16669,1981,False,2,"Ames, IA",Timber,228000.0
2,1.5,1382,12358,1941,False,2,"Ames, IA",OldTown,128500.0
3,1.0,1656,31770,1960,False,2,"Ames, IA",NAmes,215000.0
2,2.0,1767,5306,1987,False,2,"Ames, IA",StoneBr,239000.0
3,1.5,1362,10197,1961,False,2,"Ames, IA",NAmes,163000.0
3,2.0,1651,12416,1986,False,2,"Ames, IA",Timber,184000.0
4,2.0,2158,12615,1950,False,2,"Ames, IA",Edwards,243000.0
4,2.5,2060,10029,1988,False,2,"Ames, IA",ClearCr,211000.0
4,2.0,1920,13650,1958,False,2,"Ames, IA",Sawyer,172500.0
1,2.0,2234,17423,2008,False,3,"Ames, IA",StoneBr,501837.0
2,1.0,968,8520,1923,False,2,"Ames, IA",OldTown,100000.0
3,2.5,1525,2117,2000,False,2,"Ames, IA",Somerst,177000.0
4,1.5,1802,7588,1920,False,1,"Ames, IA",Crawfor,200100.0
3,1.0,1340,9060,1957,False,1,"Ames, IA",Edwards,120000.0
3,2.5,2082,11426,2003,False,2,"Ames, IA",OldTown,200000.0
3,1.0,1252,7438,1908,False,2,"Ames, IA",BrkSide,127000.0
4,2.5,3608,22950,1892,False,3,"Ames, IA",OldTown,475000.0
3,2.0,1217,9947,1990,False,2,"Ames, IA",Mitchel,173000.0
3,2.5,1656,10410,1916,False,1,"Ames, IA",OldTown,135000.0
2,1.0,1224,7018,1979,False,2,"Ames, IA",SawyerW,153337.0
0,1.5,1593,4923,2001,False,2,"Ames, IA",StoneBr,286000.0
3,2.5,2727,10570,1932,False,2,"Ames, IA",Crawfor,315000.0
4,1.5,1479,7472,1972,False,2,"Ames, IA",NAmes,184000.0
3,2.0,1431,9017,1999,False,2,"Ames, IA",CollgCr,192000.0
3,2.0,1709,2522,2004,False,2,"Ames, IA",Edwards,130000.0
3,1.0,864,7180,1972,False,1,"Ames, IA",CollgCr,127000.0
3,2.5,1456,2280,1976,False,2,"Ames, IA",NPkVill,148500.0
3,2.0,1726,9416,2007,False,3,"Ames, IA",Somerst,311872.0
4,2.0,3112,25419,1918,True,2,"Ames, IA",NAmes,235000.0
5,1.0,2229,5520,1912,False,0,"Ames, IA",OldTown,104000.0
3,2.0,1713,9591,2004,False,3,"Ames, IA",NridgHt,274900.0
2,2.0,1121,8546,2003,False,2,"Ames, IA",Edwards,140000.0
3,2.0,1279,10125,1977,False,2,"Ames, IA",Mitchel,171500.0
2,2.0,1310,7000,1924,False,1,"Ames, IA",OldTown,112000.0
1,1.0,848,4438,2004,False,2,"Ames, IA",CollgCr,149000.0
2,1.5,1284,3500,1947,False,1,"Ames, IA",OldTown,110000.0
3,2.0,1442,11851,1990,False,2,"Ames, IA",Gilbert,180500.0
3,1.5,1696,13673,1962,False,1,"Ames, IA",Sawyer,143900.0
3,1.0,1100,12493,1960,False,1,"Ames, IA",NAmes,141000.0
3,2.5,2062,14364,1988,False,2,"Ames, IA",SawyerW,277000.0
3,1.0,1092,8250,1964,False,2,"Ames, IA",NAmes,145000.0
2,1.0,864,5604,1925,False,0,"Ames, IA",Edwards,98000.0
3,2.0,1212,10420,2009,False,2,"Ames, IA",Edwards,186000.0
3,2.5,1852,8640,2009,False,2,"Ames, IA",Somerst,252678.0
3,1.0,990,13568,1995,False,2,"Ames, IA",CollgCr,156000.0
3,1.5,1392,10900,1977,False,1,"Ames, IA",CollgCr,161750.0
2,1.0,1236,10011,1957,False,1,"Ames, IA",NAmes,134450.0
3,2.0,1436,8450,2004,False,2,"Ames, IA",CollgCr,210000.0
3,1.0,1328,9906,1925,False,1,"Ames, IA",OldTown,107000.0
3,1.5,1954,15660,1939,False,2,"Ames, IA",Crawfor,311500.0
2,2.0,1248,3010,2005,False,2,"Ames, IA",Blmngtn,167240.0
2,2.0,1498,8990,2006,False,2,"Ames, IA",CollgCr,204900.0
4,2.5,2267,8068,2002,False,2,"Ames, IA",Gilbert,200000.0
3,2.5,1552,11475,1975,False,2,"Ames, IA",NWAmes,179900.0
2,1.0,864,10500,1971,False,2,"Ames, IA",NAmes,97000.0
3,2.0,2392,13472,2003,False,3,"Ames, IA",NridgHt,386250.0
3,2.5,1302,1680,1971,False,1,"Ames, IA",BrDale,112000.0
4,2.5,2520,9950,1995,False,3,"Ames, IA",NoRidge,290000.0
2,1.5,987,1869,1970,False,1,"Ames, IA",BrDale,106000.0
3,1.0,912,8521,1967,False,1,"Ames, IA",Sawyer,125000.0
2,2.0,1555,3182,2005,False,2,"Ames, IA",Blmngtn,192500.0
3,1.0,1194,8760,1959,False,1,"Ames, IA",NAmes,148000.0
4,2.5,2794,15138,1995,False,3,"Ames, IA",NoRidge,403000.0
2,1.5,987,1680,1972,False,1,"Ames, IA",BrDale,94500.0
3,1.0,894,10650,1976,False,1,"Ames, IA",CollgCr,128200.0
4,2.5,1960,7851,2002,False,2,"Ames, IA",Gilbert,216500.0
2,1.5,987,1680,1971,False,1,"Ames, IA",BrDale,89500.0
3,2.0,1414,8773,2004,False,2,"Ames, IA",CollgCr,185500.0
3,2.5,1744,9453,1993,False,2,"Ames, IA",SawyerW,194500.0
3,2.0,1694,12030,2007,False,3,"Ames, IA",NridgHt,318000.0
3,1.5,1487,8741,1945,False,1,"Ames, IA",Edwards,113000.0
3,2.0,1566,9000,2008,False,2,"Ames, IA",Somerst,262500.0
2,1.0,866,3880,1945,False,0,"Ames, IA",OldTown,110500.0
3,1.0,1440,5000,1900,False,1,"Ames, IA",OldTown,79000.0
3,1.5,1217,10762,1980,False,1,"Ames, IA",SawyerW,120000.0
3,2.5,2110,8880,1994,False,2,"Ames, IA",SawyerW,205000.0
3,2.0,1872,10400,1988,False,2,"Ames, IA",NWAmes,241500.0
4,2.0,1928,9142,1910,False,1,"Ames, IA",OldTown,137000.0
2,1.0,1375,11310,1954,False,2,"Ames, IA",NAmes,140000.0
3,2.5,1668,11317,2003,False,2,"Ames, IA",CollgCr,180000.0
4,2.0,2144,159000,1958,False,2,"Ames, IA",ClearCr,277000.0
3,1.0,1306,5350,1940,False,0,"Ames, IA",BrkSide,76500.0
2,2.0,1625,4750,2006,False,2,"Ames, IA",Crawfor,235000.0
3,2.5,1640,8366,2004,False,2,"Ames, IA",SawyerW,173000.0
3,2.0,1302,9350,1964,False,1,"Ames, IA",NAmes,158000.0
3,1.0,1314,8400,1957,False,1,"Ames, IA",NAmes,145000.0
4,2.5,2291,8738,1999,False,2,"Ames, IA",Gilbert,230000.0
3,2.5,1728,8791,2003,False,2,"Ames, IA",Somerst,207500.0
3,2.5,1604,8814,2006,False,2,"Ames, IA",CollgCr,220000.0
3,2.5,1792,12435,2001,False,2,"Ames, IA",CollgCr,231500.0
2,1.0,882,12702,1956,False,1,"Ames, IA",OldTown,97000.0
3,1.0,1382,19296,1962,False,2,"Ames, IA",NAmes,176000.0
3,2.5,2574,9588,2007,False,3,"Ames, IA",CollgCr,276000.0
3,1.0,1212,8471,1977,False,2,"Ames, IA",Sawyer,151000.0
3,1.0,1316,5500,1929,False,2,"Ames, IA",OldTown,130000.0
2,1.0,764,5232,1925,False,2,"Ames, IA",OldTown,73000.0
3,2.0,1422,12090,1981,False,2,"Ames, IA",NWAmes,175500.0
3,2.5,1511,11207,1997,False,2,"Ames, IA",Gilbert,185000.0
4,2.5,2192,8400,1939,False,1,"Ames, IA",SWISU,179500.0
2,1.0,778,6900,1940,False,1,"Ames, IA",IDOTRR,120500.0
3,1.5,1113,7917,1976,False,1,"Ames, IA",Edwards,148000.0
3,2.5,1939,10728,2006,False,3,"Ames, IA",Somerst,266000.0
2,1.0,1363,39104,1954,False,2,"Ames, IA",ClearCr,241500.0
4,2.5,2270,11764,1999,False,3,"Ames, IA",NoRidge,290000.0
3,2.0,1632,9600,1958,False,1,"Ames, IA",NAmes,139000.0
2,1.0,816,8314,1982,False,1,"Ames, IA",Mitchel,124500.0
3,2.5,1548,7264,1925,False,2,"Ames, IA",BrkSide,205000.0
3,2.0,1560,9196,2003,False,2,"Ames, IA",Mitchel,201000.0
2,1.0,864,19138,1951,False,2,"Ames, IA",Gilbert,141000.0
3,2.5,2121,14450,2006,False,3,"Ames, IA",NridgHt,415298.0
4,2.5,2022,10005,1977,False,2,"Ames, IA",ClearCr,192000.0
3,2.5,1982,11287,1989,False,2,"Ames, IA",SawyerW,228500.0
2,2.0,1262,7200,2006,False,2,"Ames, IA",Somerst,185000.0
2,2.0,1314,5063,2007,False,2,"Ames, IA",NridgHt,207500.0
3,2.0,1468,9612,2008,False,3,"Ames, IA",Somerst,244600.0
2,2.0,1575,8012,1992,False,2,"Ames, IA",SawyerW,179200.0
2,2.5,1250,4251,2006,False,2,"Ames, IA",Somerst,164700.0
3,1.5,1734,9786,1962,False,2,"Ames, IA",NAmes,159000.0
3,1.0,858,8125,1971,False,0,"Ames, IA",NAmes,88000.0
3,1.0,900,9819,1967,False,1,"Ames, IA",Sawyer,122000.0
3,1.0,1396,8730,1915,False,1,"Ames, IA",BrkSide,153575.0
3,2.5,1919,15611,2006,False,2,"Ames, IA",CollgCr,233230.0
6,2.0,1716,5687,1912,False,0,"Ames, IA",SWISU,135900.0
3,1.5,1716,11409,1949,False,1,"Ames, IA",Edwards,131000.0
3,2.5,2263,16659,1977,False,2,"Ames, IA",NWAmes,235000.0
3,1.0,1644,9600,1953,False,2,"Ames, IA",NAmes,167000.0
3,1.0,1003,7937,1984,False,2,"Ames, IA",Mitchel,142500.0
4,1.5,1558,13710,1950,False,1,"Ames, IA",IDOTRR,152000.0
3,2.5,1950,7399,1997,False,2,"Ames, IA",Somerst,239000.0
3,2.0,1743,11700,1968,False,2,"Ames, IA",NWAmes,175000.0
3,1.0,1152,14000,1950,False,1,"Ames, IA",Crawfor,158500.0
2,1.0,1336,15750,1953,False,1,"Ames, IA",Crawfor,157000.0
4,2.5,2452,16226,1998,False,2,"Ames, IA",CollgCr,267000.0
3,2.0,1541,13704,2001,False,3,"Ames, IA",CollgCr,205000.0
3,1.0,894,9800,1972,False,2,"Ames, IA",CollgCr,149900.0
3,3.0,3493,18386,1880,False,3,"Ames, IA",OldTown,295000.0
3,2.0,2000,10386,2004,False,3,"Ames, IA",CollgCr,305900.0
4,2.5,2243,13474,1990,False,3,"Ames, IA",SawyerW,225000.0
3,1.0,1406,7920,1920,False,0,"Ames, IA",IDOTRR,89500.0
1,1.0,861,12342,1940,False,2,"Ames, IA",Edwards,82500.0
3,2.0,1944,12378,2003,False,3,"Ames, IA",NridgHt,360000.0
3,2.5,1501,7685,1993,False,2,"Ames, IA",Gilbert,165600.0
2,1.0,972,8000,1948,False,1,"Ames, IA",NAmes,132000.0
3,1.0,1118,7800,1939,False,2,"Ames, IA",OldTown,119900.0
3,2.0,2036,215245,1965,False,2,"Ames, IA",Timber,375000.0
3,1.5,1641,9600,1925,False,2,"Ames, IA",OldTown,178000.0
3,2.5,1432,7795,2004,False,2,"Ames, IA",Gilbert,188500.0
4,2.5,2353,13005,1980,False,2,"Ames, IA",NWAmes,260000.0
3,2.5,1959,9000,2006,False,3,"Ames, IA",Somerst,270000.0
4,2.5,2646,9900,1993,False,3,"Ames, IA",NoRidge,260000.0
3,2.0,1472,14115,1980,False,2,"Ames, IA",NWAmes,187500.0
4,3.5,2596,16259,2006,False,3,"Ames, IA",NridgHt,342643.0
4,2.5,2468,12099,2004,False,3,"Ames, IA",NridgHt,354000.0
4,2.5,2730,10380,1986,False,2,"Ames, IA",SawyerW,301000.0
3,1.0,1163,5820,1955,False,1,"Ames, IA",OldTown,126175.0
5,2.5,2978,11275,1967,False,2,"Ames, IA",NAmes,242000.0
2,1.0,803,5000,1941,False,2,"Ames, IA",IDOTRR,87000.0
1,1.5,1719,10846,1993,False,2,"Ames, IA",Veenker,324000.0
3,1.5,1383,11600,1960,False,1,"Ames, IA",NAmes,145250.0
5,2.0,2134,11888,1916,False,2,"Ames, IA",BrkSide,214500.0
3,1.0,1192,6402,1920,False,1,"Ames, IA",IDOTRR,78000.0
6,2.0,1728,10624,1964,False,1,"Ames, IA",NAmes,119000.0
3,1.0,1056,8176,1958,False,1,"Ames, IA",NAmes,139000.0
3,2.0,1629,10655,2003,False,3,"Ames, IA",NridgHt,284000.0
2,2.0,1358,8198,2004,False,2,"Ames, IA",NridgHt,207000.0
3,2.5,1638,9042,1998,False,2,"Ames, IA",Gilbert,192000.0
3,2.0,1786,164660,1965,False,2,"Ames, IA",Timber,228950.0
3,2.0,1922,14157,2005,False,3,"Ames, IA",StoneBr,377426.0
3,2.0,1536,9135,2002,False,2,"Ames, IA",CollgCr,214000.0
3,2.0,1621,14145,1984,False,2,"Ames, IA",NWAmes,202500.0
3,1.0,1215,12400,1958,False,1,"Ames, IA",NAmes,155000.0
4,2.5,1908,14191,2002,False,2,"Ames, IA",Timber,202900.0
2,1.0,841,8400,1950,False,1,"Ames, IA",SawyerW,82000.0
2,2.0,1040,8544,1949,False,2,"Ames, IA",NAmes,87500.0
2,2.0,1684,8849,2005,False,2,"Ames, IA",NridgHt,266000.0
3,1.5,1112,2592,1976,False,1,"Ames, IA",MeadowV,85000.0
3,1.0,1577,6435,1939,False,1,"Ames, IA",BrkSide,140200.0
2,1.0,958,12772,1960,False,1,"Ames, IA",NAmes,151500.0
3,2.0,1478,17600,1960,False,2,"Ames, IA",NAmes,157500.0
2,2.5,1626,2448,2003,False,2,"Ames, IA",NridgHt,154000.0
4,2.5,2728,20431,2005,False,3,"Ames, IA",NridgHt,437154.0
2,2.0,1869,7820,2007,False,2,"Ames, IA",NridgHt,318061.0
2,1.5,1453,5271,1986,False,2,"Ames, IA",ClearCr,190000.0
3,1.0,1111,9084,1941,False,1,"Ames, IA",Edwards,95000.0
2,1.0,720,8520,1928,False,2,"Ames, IA",OldTown,105900.0
2,1.0,1595,8400,1940,False,1,"Ames, IA",SWISU,140000.0
3,2.0,1200,11249,1995,False,2,"Ames, IA",CollgCr,177500.0
3,2.0,1167,9248,1992,False,2,"Ames, IA",Gilbert,173000.0
3,1.5,1142,4224,1976,False,2,"Ames, IA",MeadowV,134000.0
3,1.0,1352,6930,1958,False,1,"Ames, IA",ClearCr,130000.0
3,2.5,1924,12011,1998,False,2,"Ames, IA",NoRidge,280000.0
2,1.0,912,7540,1978,False,2,"Ames, IA",Mitchel,156000.0
3,1.0,1505,9144,1940,False,1,"Ames, IA",BrkSide,145000.0
4,3.0,1922,7301,2003,False,2,"Ames, IA",Edwards,198500.0
2,1.5,987,1680,1972,False,1,"Ames, IA",BrDale,118000.0
3,2.5,1574,18800,1976,False,2,"Ames, IA",NWAmes,190000.0
3,1.0,1344,10690,1920,False,1,"Ames, IA",IDOTRR,147000.0
3,1.5,1394,9500,1963,False,2,"Ames, IA",NAmes,159000.0
3,1.0,1431,9150,1962,False,1,"Ames, IA",NAmes,165000.0
2,1.0,1268,7800,1954,False,1,"Ames, IA",NAmes,132000.0
3,1.0,1287,9830,1959,False,2,"Ames, IA",NAmes,162000.0
3,2.5,1664,8121,2000,False,2,"Ames, IA",Gilbert,172400.0
